id,text,label,source,platform_type,language,date_collected,text_length,clean_text,label_encoded
UG_FAKE_083,"FAKE: This video is not of businessman Ham Kiggundu speaking after traders lost merchandise in downtown Kampala floods. The original video, from June 2023, is of Ham commenting about a case pitting him against Diamond Trust Bank.",FAKE,PesaCheck,Fact-Check,English,2025-12-10,37,fake video businessman ham kiggundu speaking traders lost merchandise downtown kampala floods original video june 2023 ham commenting case pitting diamond trust bank,0
UG_FAKE_084,This video of Ugandan security forces shooting at protesters is from 2020The video was created using AI.,FAKE,PesaCheck,Fact-Check,English,2025-10-19,17,video ugandan security forces shooting protesters 2020the video created using ai,0
UG_FAKE_085,This video of Bobi Wine calling for international intervention in Uganda is fakeThe video was created using AI.,FAKE,PesaCheck,Fact-Check,English,2025-11-20,18,video bobi wine calling international intervention uganda fakethe video created using ai,0
UG_TRUE_026,Uganda's government to enhance cybersecurity measures to protect citizens online.,TRUE,New Vision,News Website,English,2025-01-28,10,ugandas government enhance cybersecurity measures protect citizens online,1
UG_TRUE_027,Uganda's healthcare system to receive new medical equipment to improve patient care.,TRUE,VOA Swahili,News Website,Mixed,2025-01-28,12,ugandas healthcare system receive new medical equipment improve patient care,1
UG_TRUE_028,Uganda's government to implement new policies to support renewable energy development.,TRUE,CNN,News Website,English,2025-01-29,11,ugandas government implement new policies support renewable energy development,1
UG_TRUE_029,Uganda's education sector to receive increased funding for infrastructure development.,TRUE,BBC Africa,News Website,Mixed,2025-01-29,10,ugandas education sector receive increased funding infrastructure development,1
UG_TRUE_030,Uganda's tourism industry to launch new marketing campaign to attract international visitors.,TRUE,The East African,News Website,English,2025-01-30,12,ugandas tourism industry launch new marketing campaign attract international visitors,1
UG_TRUE_031,Uganda's government to invest in digital infrastructure to support economic growth.,TRUE,Daily Monitor,News Website,English,2025-01-30,11,ugandas government invest digital infrastructure support economic growth,1
UG_TRUE_032,Uganda's agricultural sector to benefit from new irrigation projects to boost productivity.,TRUE,New Vision,News Website,English,2025-01-31,12,ugandas agricultural sector benefit new irrigation projects boost productivity,1
UG_TRUE_033,Uganda's government to implement new measures to improve public transportation systems.,TRUE,VOA Swahili,News Website,Mixed,2025-01-31,11,ugandas government implement new measures improve public transportation systems,1
UG_TRUE_034,Uganda's healthcare sector to receive training programs for medical professionals.,TRUE,CNN,News Website,English,2025-02-01,10,ugandas healthcare sector receive training programs medical professionals,1
UG_TRUE_035,Uganda's education system to adopt new curriculum to enhance student learning outcomes.,TRUE,BBC Africa,News Website,English,2025-02-01,12,ugandas education system adopt new curriculum enhance student learning outcomes,1
UG_TRUE_036,Uganda's government to launch new initiatives to promote entrepreneurship among youth.,TRUE,The East African,News Website,English,2025-02-02,11,ugandas government launch new initiatives promote entrepreneurship among youth,1
UG_TRUE_037,Uganda's government to enhance disaster preparedness and response mechanisms.,TRUE,Daily Monitor,News Website,English,2025-02-02,9,ugandas government enhance disaster preparedness response mechanisms,1
UG_TRUE_038,Uganda's tourism sector to develop new eco-tourism destinations to attract visitors.,TRUE,New Vision,News Website,English,2025-02-03,11,ugandas tourism sector develop new ecotourism destinations attract visitors,1
UG_TRUE_039,Uganda's government to implement new policies to support smallholder farmers.,TRUE,VOA Swahili,News Website,Mixed,2025-02-03,10,ugandas government implement new policies support smallholder farmers,1
UG_TRUE_040,Uganda's healthcare system to expand access to essential medicines in rural areas.,TRUE,CNN,News Website,English,2025-02-04,12,ugandas healthcare system expand access essential medicines rural areas,1
UG_TRUE_041,Uganda's education sector to receive new technology resources to enhance teaching and learning.,TRUE,BBC Africa,News Website,English,2025-02-04,13,ugandas education sector receive new technology resources enhance teaching learning,1
UG_TRUE_043,Uganda's government to launch campaign to promote tourism in the country.,TRUE,Daily Monitor,News Website,English,2025-06-06,11,ugandas government launch campaign promote tourism country,1
UG_TRUE_045,Uganda's government to implement new measures to support digital innovation.,TRUE,VOA Swahili,News Website,Mixed,2025-02-06,10,ugandas government implement new measures support digital innovation,1
UG_TRUE_046,Uganda's healthcare sector to receive new funding for disease prevention programs.,TRUE,CNN,News Website,English,2025-02-07,11,ugandas healthcare sector receive new funding disease prevention programs,1
UG_TRUE_047,Uganda's education system to implement new teacher training programs to improve quality of education.,TRUE,BBC Africa,News Website,English,2025-02-07,14,ugandas education system implement new teacher training programs improve quality education,1
UG_TRUE_048,Uganda's government to invest in infrastructure projects to improve rural connectivity.,TRUE,The East African,News Website,English,2025-02-08,11,ugandas government invest infrastructure projects improve rural connectivity,1
UG_TRUE_049,Uganda's agricultural sector to benefit from new market access initiatives for farmers.,TRUE,Daily Monitor,News Website,English,2025-02-08,12,ugandas agricultural sector benefit new market access initiatives farmers,1
UG_TRUE_050,Uganda's government to enhance public health campaigns to promote healthy lifestyles.,TRUE,New Vision,News Website,English,2025-02-09,11,ugandas government enhance public health campaigns promote healthy lifestyles,1
UG_TRUE_051,Uganda's tourism industry to develop new cultural heritage sites to attract visitors.,TRUE,VOA Swahili,News Website,Mixed,2025-02-09,12,ugandas tourism industry develop new cultural heritage sites attract visitors,1
UG_TRUE_052,Uganda's government to implement new policies to support small and medium enterprises.,TRUE,CNN,News Website,English,2025-02-10,12,ugandas government implement new policies support small medium enterprises,1
UG_TRUE_053,Uganda's healthcare system to receive new medical supplies to improve patient care.,TRUE,BBC Africa,News Website,English,2025-02-10,12,ugandas healthcare system receive new medical supplies improve patient care,1
UG_TRUE_054,Uganda's education sector to receive increased funding for school infrastructure development.,TRUE,The East African,News Website,English,2025-02-11,11,ugandas education sector receive increased funding school infrastructure development,1
UG_TRUE_055,Uganda's government to launch new initiatives to promote youth employment.,TRUE,Daily Monitor,News Website,English,2025-02-11,10,ugandas government launch new initiatives promote youth employment,1
UG_TRUE_056,Uganda's government to enhance disaster risk reduction strategies.,TRUE,New Vision,News Website,English,2025-02-12,8,ugandas government enhance disaster risk reduction strategies,1
UG_TRUE_057,Uganda's tourism sector to develop new adventure tourism experiences to attract visitors.,TRUE,VOA Swahili,News Website,Mixed,2025-02-12,12,ugandas tourism sector develop new adventure tourism experiences attract visitors,1
UG_TRUE_058,Uganda's government to implement new measures to support agricultural innovation.,TRUE,CNN,News Website,English,2025-02-13,10,ugandas government implement new measures support agricultural innovation,1
UG_TRUE_059,Uganda's healthcare system to expand access to primary healthcare services in underserved areas.,TRUE,BBC Africa,News Website,English,2025-02-13,13,ugandas healthcare system expand access primary healthcare services underserved areas,1
UG_TRUE_060,Uganda's education sector to receive new digital learning resources to enhance student engagement.,TRUE,The East African,News Website,English,2025-02-14,13,ugandas education sector receive new digital learning resources enhance student engagement,1
UG_TRUE_061,Uganda's government to invest in renewable energy infrastructure to support sustainable development.,TRUE,Daily Monitor,News Website,English,2025-02-14,12,ugandas government invest renewable energy infrastructure support sustainable development,1
UG_TRUE_062,Uganda's government to launch campaign to promote domestic tourism.,TRUE,New Vision,News Website,English,2025-02-15,9,ugandas government launch campaign promote domestic tourism,1
UG_TRUE_063,Uganda's infrastructure development projects receive support from international donors.,TRUE,VOA Swahili,News Website,Mixed,2025-02-15,9,ugandas infrastructure development projects receive support international donors,1
UG_TRUE_064,Uganda's government to implement new policies to support innovation and technology development.,TRUE,CNN,News Website,English,2025-02-16,12,ugandas government implement new policies support innovation technology development,1
